Scolymus hispanicus subsp. occidentalis
Scolymus hispanicus subsp. hispanicus
Serratula tinctoria var. tinctoria
Serratula tinctoria var. seoanei
Ulex latebracteatus
Ophrys ficalhoana
Ophrys tenthredinifera
Festuca elegans subsp. merinoi
Trigonella polyceratia subsp. amandiana
Trigonella polyceratia subsp. polyceratia
Rhamnus alaternus subsp. alaternus
Rhamnus alaternus subsp. munyozgarmendiae
Salix pedicellata
Brachypodium hybridum
Vulpia unilateralis
Coincya monensis subsp. cheiranthos var. cheiranthos
Schenkia spicata
Adenocarpus hispanicus subsp. gredensis
Althenia orientalis
Legousia falcata
Scrophularia schousboei
Eryngium duriaei subsp. duriaei
Eryngium duriaei subsp. juresianum
Narcissus pseudonarcissus
Rhaponticum exaltatum
Rhaponticum coniferum
Quercus pubescens
Mibora minima subsp. littorea
Viola henriquesii
Potamogeton coloratus
Scorzoneroides pyrenaica subsp. cantabrica
Andropogon distachyos
Paronychia capitata subsp. capitata
Hedypnois cretica sensu Flora Iberica
Hedypnois rhagadioloides sensu Flora Iberica
Acinos alpinus
Ajuga pyramidalis subsp. pyramidalis
Ajuga chamaepitys
Ajuga iva var. pseudoiva
Ajuga iva var. iva
Ajuga pyramidalis subsp. meonantha
Ajuga reptans
Ballota hirsuta
Ballota nigra
Calamintha nepeta subsp. nepeta
Cleonia lusitanica
Clinopodium vulgare
Galeopsis tetrahit subsp. tetrahit
Glechoma hederacea
Lamium amplexicaule
Lamium bifidum
Lamium gevorense
Lamium hybridum
Lamium maculatum
Lamium purpureum
Lavandula multifida
Lavandula viridis
Lycopus europaeus
Marrubium vulgare
Melissa officinalis
Melittis melissophyllum
Mentha aquatica
Mentha cervina
Mentha longifolia
Mentha pulegium
Mentha suaveolens
Micromeria graeca subsp. graeca
Nepeta caerulea
Nepeta cataria
Nepeta multibracteata
Nepeta tuberosa subsp. tuberosa
Origanum vulgare subsp. virens
Phlomis herba-venti subsp. herba-venti
Phlomis lychnitis
Phlomis purpurea
Prasium majus
Prunella grandiflora
Prunella laciniata
Prunella vulgaris
Salvia aethiopis
Salvia argentea
Salvia sclareoides
Salvia verbenaca
Salvia viridis
Scutellaria galericulata
Scutellaria minor
Sideritis hirsuta
Sideritis hyssopifolia
Sideritis montserratiana
Sideritis romana
Stachys arvensis
Stachys germanica
Stachys ocymastrum
Stachys officinalis var. algeriensis
Stachys officinalis var. officinalis
Stachys palustris
Stachys sylvatica
Teucrium algarbiense
Teucrium capitatum subsp. capitatum
Teucrium chamaedrys
Teucrium fruticans
Teucrium haenseleri
Teucrium lusitanicum subsp. lusitanicum
Teucrium pseudochamaepitys
Teucrium pseudoscorodonia
Teucrium scordium subsp. scordium
Teucrium scorodonia
Teucrium spinosum
Thymbra capitata
Thymus albicans
Thymus caespititius
Thymus carnosus
Thymus mastichina subsp. mastichina
Thymus mastichina subsp. donyanae
Thymus praecox subsp. britanicus
Thymus pulegioides
Thymus villosus subsp. lusitanicus
Thymus zygis subsp. sylvestris
Thymus zygis subsp. zygis
Pinguicula lusitanica
Pinguicula vulgaris
Utricularia australis
Utricularia gibba
Utricularia subulata
Lindernia procumbens
Fraxinus angustifolia subsp. angustifolia
Jasminum fruticans
Ligustrum vulgare
Olea europaea var. sylvestris
Phillyrea angustifolia
Phillyrea latifolia
Cistanche phelypaea
Orobanche arenaria
Orobanche calendulae
Orobanche crenata
Orobanche foetida
Orobanche gracilis
Orobanche hederae
Orobanche latisquama
Orobanche rapum-genistae
Orobanche rosmarina
Bartsia trixago
Euphrasia hirtella
Euphrasia minima
Melampyrum pratense subsp. latifolium
Nothobartsia asperrima
Odontitella virgata
Odontites vernus
Odontites viscosus subsp. australis
Parentucellia latifolia
Parentucellia viscosa
Pedicularis sylvatica subsp. lusitanica
Rhinanthus minor
Littorella uniflora
Plantago afra var. afra
Plantago albicans
Plantago alpina
Plantago bellardii
Plantago coronopus
Plantago holosteum
Plantago lagopus
Plantago lanceolata
Plantago loeflingii
Plantago macrorhiza
Plantago major subsp. intermedia
Plantago maritima subsp. maritima
Plantago maritima subsp. serpentina
Plantago serraria
Anarrhinum bellidifolium
Anarrhinum duriminium
Antirrhinum cirrhigerum
Antirrhinum graniticum
Antirrhinum linkianum
Antirrhinum lopesianum
Antirrhinum meonanthum
Antirrhinum onubense
Antirrhinum majus
Chaenorhinum minus subsp. minus
Chaenorhinum origanifolium subsp. origanifolium
Chaenorhinum rubrifolium subsp. rubrifolium
Digitalis mariana subsp. heywoodii
Digitalis purpurea subsp. purpurea
Digitalis thapsi
Gratiola linifolia
Gratiola officinalis
Kickxia cirrhosa
Kickxia commutata subsp. commutata
Kickxia elatine subsp. elatine
Kickxia elatine subsp. crinita
Kickxia lanigera
Kickxia spuria subsp. integrifolia
Linaria aeruginea subsp. aeruginea
Linaria amethystea subsp. amethystea
Linaria bipunctata subsp. bipunctata
Linaria elegans
Linaria hirta
Linaria incarnata
Linaria intricata
Linaria micrantha
Linaria munbyana
Linaria oblongifolia subsp. haenseleri
Linaria pedunculata
Linaria polygalifolia subsp. polygalifolia
Linaria polygalifolia subsp. lamarckii
Linaria saxatilis
Linaria simplex
Linaria spartea
Linaria supina subsp. maritima
Linaria supina subsp. supina
Linaria triornithophora
Linaria viscosa subsp. viscosa
Misopates calycinum
Misopates orontium
Sibthorpia europaea
Veronica acinifolia
Veronica agrestis
Veronica anagallis-aquatica subsp. anagallis-aquatica
Veronica anagalloides subsp. anagalloides
Veronica arvensis
Veronica beccabunga subsp. beccabunga
Veronica chamaedrys subsp. chamaedrys
Veronica cymbalaria
Veronica hederifolia
Veronica micrantha
Veronica montana
Veronica nevadensis
Veronica officinalis
Veronica polita
Veronica scutellata
Veronica serpyllifolia subsp. serpyllifolia
Veronica triphyllos
Veronica verna
Callitriche brutia
Callitriche lusitanica
Callitriche obtusangula
Callitriche regis-jubae
Callitriche stagnalis
Callitriche truncata subsp. occidentalis
Callitriche cribrosa
Globularia vulgaris
Hippuris vulgaris
Limosella aquatica
Scrophularia auriculata subsp. auriculata
Scrophularia bourgaeana
